logtime,scenario_time,type,module,address,value
0.777868,0,version,,,1.4.1
0.778619,0,scenario_path,,,includes\scenarios\fatigue.txt
0.779832,0,seed_value,communications,,
0.779864,0,seed_output,communications,,NJJ837
0.779968,0,seed_value,communications,,
0.779978,0,seed_output,communications,,CJN374
0.780067,0,seed_value,communications,,
0.780079,0,seed_output,communications,,XOW819
0.780159,0,seed_value,communications,,
0.780169,0,seed_output,communications,,DJW772
0.780241,0,seed_value,communications,,
0.780256,0,seed_output,communications,,KQT042
0.780332,0,seed_value,communications,,
0.780342,0,seed_output,communications,,IDQ792
0.780421,0,seed_value,communications,,
0.780432,0,seed_output,communications,,OSN708
0.780509,0,seed_value,communications,,
0.780519,0,seed_output,communications,,ZIK333
0.780589,0,seed_value,communications,,
0.780598,0,seed_output,communications,,GDJ460
0.780629,0,seed_value,communications,,
0.780638,0,seed_output,communications,,120.909038
0.780662,0,seed_value,communications,,
0.78067,0,seed_output,communications,,121.80859
0.780692,0,seed_value,communications,,
0.7807,0,seed_output,communications,,120.027576
0.780721,0,seed_value,communications,,
0.780728,0,seed_output,communications,,110.053459
4.834157,0,dialog,,,OpenMATB end
4.848182,0.017389,input,joystick,x,-0.007828
4.848209,0.017389,input,joystick,y,0.076493
4.848256,0.017389,event,pvt,duration_s,180
7.00118,0.017389,dialog,,,Error(s) end
7.001981,0.035364,event,pvt,iti_min_ms,2000
7.002087,0.035364,manual,,,end
