logtime,scenario_time,type,module,address,value
0.855787,0,version,,,1.4.1
0.856125,0,scenario_path,,,includes\scenarios\fatigue.txt
0.856832,0,seed_value,communications,,
0.856849,0,seed_output,communications,,ZSC740
0.856924,0,seed_value,communications,,
0.856932,0,seed_output,communications,,HLM230
0.856988,0,seed_value,communications,,
0.856996,0,seed_output,communications,,SBN790
0.857046,0,seed_value,communications,,
0.857052,0,seed_output,communications,,PIV852
0.857111,0,seed_value,communications,,
0.857118,0,seed_output,communications,,DTW834
0.85717,0,seed_value,communications,,
0.857177,0,seed_output,communications,,LPP463
0.857226,0,seed_value,communications,,
0.857232,0,seed_output,communications,,QNZ454
0.857281,0,seed_value,communications,,
0.857287,0,seed_output,communications,,FDV753
0.857306,0,seed_value,communications,,
0.857312,0,seed_output,communications,,114.845395
0.857326,0,seed_value,communications,,
0.857331,0,seed_output,communications,,126.064149
0.857343,0,seed_value,communications,,
0.857348,0,seed_output,communications,,131.006862
0.85736,0,seed_value,communications,,
0.857365,0,seed_output,communications,,117.39115
4.113924,0,dialog,,,OpenMATB end
4.11425,0.017337,input,joystick,x,-0.007828
4.114279,0.017337,input,joystick,y,-0.054704
4.114361,0.017337,event,instructions,filename,en/welcome_screen.txt
4.130974,0.03351,aoi,instructions,background,"(0, 1080, 1920, 0)"
4.131844,0.03351,parameter,instructions,title,
4.131876,0.03351,parameter,instructions,taskplacement,fullscreen
4.131888,0.03351,parameter,instructions,taskupdatetime,15
4.131905,0.03351,parameter,instructions,taskfeedback-overdue-active,0
4.131918,0.03351,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
4.13193,0.03351,parameter,instructions,taskfeedback-overdue-delayms,2000
4.131941,0.03351,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
4.131952,0.03351,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
4.131962,0.03351,parameter,instructions,taskfeedback-overdue-_is_visible,0
4.131972,0.03351,parameter,instructions,boldtitle,0
4.131982,0.03351,parameter,instructions,filename,en/welcome_screen.txt
4.131991,0.03351,parameter,instructions,pointsize,0
4.132,0.03351,parameter,instructions,maxdurationsec,0
4.132011,0.03351,parameter,instructions,response-text,Press SPACE to continue
4.132021,0.03351,parameter,instructions,response-key,SPACE
4.132034,0.03351,parameter,instructions,allowkeypress,1
4.134951,0.03351,state,instructions,"background, visibility",1
4.134977,0.03351,event,instructions,self,start
4.147028,0.050032,state,instructions,"background, visibility",0
4.153285,0.050032,aoi,instructions,title,"(0, 1080, 1920, 0)"
4.157951,0.050032,aoi,instructions,press_space,"(0, 1080, 1920, 0)"
4.168664,0.050032,aoi,instructions,instructions,"(0, 1080, 1920, 0)"
4.16883,0.050032,state,instructions,"background, visibility",1
5.46347,0.050032,input,keyboard,SPACE,press
5.496087,0.050032,input,joystick,y,-0.070329
5.613238,0.050032,input,keyboard,SPACE,release
5.613707,0.050032,state,instructions,"background, visibility",0
5.630143,0.066089,aoi,sysmon,foreground,"(0, 1026.0, 672, 540.0)"
5.630261,0.066089,aoi,sysmon,overdue,"(0, 1026.0, 672, 540.0)"
5.638738,0.066089,aoi,sysmon,task_title,"(0, 1080.0, 672, 1026.0)"
5.638894,0.066089,aoi,sysmon,automode,"(285.6, 592.65, 386.40000000000003, 565.65)"
5.640299,0.066089,aoi,sysmon,scale1,"(50.4, 855.9, 117.6, 612.9)"
5.641388,0.066089,aoi,sysmon,scale2,"(218.4, 855.9, 285.6, 612.9)"
5.6425,0.066089,aoi,sysmon,scale3,"(386.4, 855.9, 453.59999999999997, 612.9)"
5.64353,0.066089,aoi,sysmon,scale4,"(554.4, 855.9, 621.6, 612.9)"
5.644705,0.066089,aoi,sysmon,light1,"(33.599999999999994, 977.4, 302.4, 904.5)"
5.646623,0.066089,aoi,sysmon,light2,"(369.6, 977.4, 638.4000000000001, 904.5)"
5.646659,0.066089,parameter,sysmon,title,System monitoring
5.646667,0.066089,parameter,sysmon,taskplacement,topleft
5.646673,0.066089,parameter,sysmon,taskupdatetime,200
5.646683,0.066089,parameter,sysmon,taskfeedback-overdue-active,0
5.646689,0.066089,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
5.646696,0.066089,parameter,sysmon,taskfeedback-overdue-delayms,2000
5.646702,0.066089,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
5.646707,0.066089,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
5.646743,0.066089,parameter,sysmon,taskfeedback-overdue-_is_visible,0
5.646786,0.066089,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x0000021809A45D30>
5.646796,0.066089,parameter,sysmon,alerttimeout,10000
5.646802,0.066089,parameter,sysmon,automaticsolver,0
5.646808,0.066089,parameter,sysmon,automaticsolverdelay,1000
5.646814,0.066089,parameter,sysmon,displayautomationstate,1
5.646821,0.066089,parameter,sysmon,allowanykey,0
5.646827,0.066089,parameter,sysmon,feedbackduration,1500
5.646834,0.066089,parameter,sysmon,feedbacks-positive-active,1
5.64684,0.066089,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
5.646848,0.066089,parameter,sysmon,feedbacks-negative-active,1
5.646855,0.066089,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
5.646863,0.066089,parameter,sysmon,lights-1-name,F5
5.646869,0.066089,parameter,sysmon,lights-1-failure,0
5.646876,0.066089,parameter,sysmon,lights-1-default,on
5.646881,0.066089,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
5.646889,0.066089,parameter,sysmon,lights-1-key,F5
5.646895,0.066089,parameter,sysmon,lights-1-on,1
5.646901,0.066089,parameter,sysmon,lights-1-_failuretimer,
5.646908,0.066089,parameter,sysmon,lights-1-_onfailure,0
5.646914,0.066089,parameter,sysmon,lights-1-_milliresponsetime,0
5.646919,0.066089,parameter,sysmon,lights-1-_freezetimer,
5.646924,0.066089,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x0000021809EBDE80>
5.646932,0.066089,parameter,sysmon,lights-2-name,F6
5.646937,0.066089,parameter,sysmon,lights-2-failure,0
5.646942,0.066089,parameter,sysmon,lights-2-default,off
5.646947,0.066089,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
5.646953,0.066089,parameter,sysmon,lights-2-key,F6
5.646958,0.066089,parameter,sysmon,lights-2-on,0
5.646963,0.066089,parameter,sysmon,lights-2-_failuretimer,
5.646968,0.066089,parameter,sysmon,lights-2-_onfailure,0
